Date,the, a, an, of, i, you, Label
"11/17/2011",0,0,0,0,0,0,0
"06/23/2013",1,2,0,2,0,1,0
"10/19/2012",1,1,0,0,0,0,0
"04/01/2016",129,37,3,57,19,20,1
"06/28/2015",14,7,1,9,1,1,0
"03/29/2015",11,1,1,5,7,5,0
"09/22/2012",6,6,0,1,9,8,0
"03/31/2015",10,6,1,10,0,5,0
"09/27/2014",4,3,0,4,0,0,0
"01/23/2013",4,4,0,4,0,0,1
"08/29/2015",1,0,0,0,1,3,0
"05/30/2009",1,0,0,0,1,2,0
"08/27/2009",1,0,0,0,1,0,1
"07/05/2015",16,3,2,9,0,1,0
"08/31/2014",1,1,0,0,0,0,0
"07/03/2009",0,1,0,1,0,0,0
"12/31/2009",1,0,0,0,0,0,0
"06/28/2013",4,4,0,0,0,1,1
"03/24/2013",0,0,0,0,0,0,0
"09/06/2015",3,3,0,4,0,1,0
"06/30/2014",4,2,1,4,2,0,0
"04/22/2012",1,0,0,1,0,1,0
"09/13/2016",422,179,28,185,68,65,0
"07/21/2011",1,0,0,1,0,0,1
"10/19/2013",2,2,0,3,2,1,0
"06/28/2014",0,0,0,1,0,0,0
"03/24/2012",8,3,0,5,0,0,0
"06/23/2012",5,1,0,6,0,0,0
"03/29/2014",1,0,0,0,0,0,0
"09/22/2011",1,1,0,0,0,0,0
"03/31/2014",2,2,0,1,0,1,0
"07/12/2016",166,70,8,91,27,14,1
"05/28/2009",2,1,0,2,0,0,1
"09/27/2013",7,4,2,2,4,4,0
"08/29/2014",8,1,1,4,1,0,1
"01/23/2012",0,6,0,5,8,2,0
"11/12/2010",0,0,0,0,0,0,0
"09/04/2009",0,0,0,0,0,0,1
"11/17/2012",1,0,0,0,0,0,0
"01/05/2010",3,1,0,3,2,3,1
"04/04/2009",2,0,0,0,0,0,0
"08/31/2015",25,7,2,11,3,8,0
"04/06/2015",15,5,1,13,2,5,0
"03/08/2016",84,24,3,45,12,6,0
"06/14/2016",104,52,5,43,11,17,0
"06/28/2012",4,12,0,1,0,8,0
"04/13/2016",80,32,4,44,15,9,1
"06/30/2015",37,24,4,13,4,6,1
"01/02/2015",4,1,1,0,0,0,0
"06/05/2009",3,1,0,2,0,1,0
"03/29/2013",0,0,0,0,0,0,0
"09/13/2015",9,5,1,2,0,3,0
"01/07/2016",90,68,11,52,57,40,0
"10/30/2009",0,0,0,0,0,0,0
"01/02/2014",2,0,0,0,0,1,0
"07/21/2010",0,0,0,0,0,0,0
"03/24/2011",0,0,0,0,0,0,1
"04/01/2014",13,3,0,4,3,0,1
"07/12/2015",7,2,1,5,1,0,0
"06/23/2011",1,0,1,0,0,0,1
"04/06/2016",87,30,8,41,14,15,1
"12/10/2010",0,0,0,0,0,0,1
"11/12/2011",0,2,0,0,1,1,0
"09/22/2010",0,0,0,0,0,0,0
"08/29/2013",5,5,2,2,1,1,1
"09/27/2012",0,0,0,0,0,0,1
"11/17/2013",1,0,0,0,0,0,0
"06/07/2016",117,45,3,52,25,12,0
"01/05/2011",0,0,0,0,0,0,1
"08/31/2016",151,70,15,69,30,31,0
"03/15/2016",74,39,4,50,11,17,0
"02/03/2010",3,0,0,0,1,0,1
"12/10/2012",0,1,0,1,0,0,0
"04/13/2015",21,6,1,6,2,2,0
"06/14/2015",3,2,0,0,0,0,0
"06/21/2009",1,1,0,0,1,0,0
"06/30/2016",162,67,10,86,29,25,1
"01/02/2016",17,5,0,8,4,1,0
"04/22/2010",4,0,0,1,0,0,1
"03/29/2012",5,0,4,3,0,0,0
"04/01/2015",6,5,1,1,0,6,0
"09/09/2009",3,0,0,1,0,0,1
"07/12/2014",3,3,0,0,1,4,0
"05/23/2009",0,1,0,1,1,2,0
"06/23/2010",1,0,0,0,0,0,0
"03/24/2010",2,0,0,0,0,0,0
"03/31/2016",134,86,10,73,68,36,1
"11/12/2012",2,1,0,0,0,4,0
"10/19/2015",28,10,4,20,6,6,0
"10/28/2010",1,0,0,0,0,0,1
"11/17/2014",9,5,1,5,3,3,0
"09/18/2016",96,52,10,56,9,11,0
"09/27/2011",4,4,0,4,4,0,1
"03/22/2009",2,0,0,1,1,0,0
"01/23/2010",1,0,0,0,0,0,0
"07/05/2012",3,10,0,8,3,0,0
"01/05/2012",1,0,0,0,0,0,1
"12/03/2012",11,2,0,1,4,4,0
"08/18/2009",1,0,0,0,0,0,1
"06/28/2010",3,0,0,1,0,0,0
"04/06/2013",31,3,4,7,17,15,0
"04/13/2014",2,0,0,0,0,0,0
"06/19/2015",9,14,0,7,2,2,0
"06/19/2016",43,22,3,26,9,11,0
"07/08/2011",0,0,0,0,0,0,0
"09/22/2016",381,172,20,217,61,67,1
"03/13/2009",2,0,0,0,1,0,1
"07/12/2013",6,3,1,4,2,4,1
"01/07/2014",4,4,0,3,2,0,1
"11/12/2013",3,3,0,1,0,0,1
"09/18/2015",23,8,1,8,1,2,0
"04/09/2012",21,18,4,4,16,12,0
"03/31/2011",2,0,0,2,0,0,1
"07/05/2011",0,0,0,1,0,0,0
"10/28/2011",1,1,0,0,0,1,0
"09/27/2010",1,1,0,0,0,0,0
"06/30/2010",1,0,0,0,0,0,0
"12/03/2011",0,0,0,0,0,0,0
"11/14/2015",16,10,2,11,4,0,0
"11/12/2015",32,23,2,22,5,5,0
"04/06/2014",0,2,0,0,0,2,0
"06/19/2014",8,5,1,5,1,5,0
"06/23/2016",228,125,15,100,51,29,1
"03/29/2010",1,0,0,1,0,0,0
"09/22/2015",11,14,2,7,1,1,0
"11/10/2009",2,0,0,0,0,0,0
"07/08/2010",0,0,0,0,1,0,1
"01/07/2015",11,5,0,8,1,0,1
"07/12/2012",10,6,1,6,4,7,0
"09/18/2014",16,8,0,7,0,3,1
"11/12/2014",7,7,0,4,0,1,1
"03/31/2010",3,0,0,1,0,0,0
"06/30/2011",1,0,0,0,0,0,1
"11/03/2009",1,0,0,1,0,0,1
"12/03/2010",0,0,0,0,0,0,1
"03/27/2011",0,0,0,0,0,0,0
"07/05/2014",0,0,0,0,0,0,0
"01/05/2014",3,2,0,2,0,0,0
"11/14/2014",11,5,0,4,4,4,1
"04/13/2012",6,1,0,0,1,1,0
"03/24/2016",71,29,6,45,16,11,1
"06/19/2013",13,7,2,6,1,0,0
"10/28/2013",5,3,0,3,0,0,0
"07/12/2011",0,0,0,0,0,0,0
"06/23/2015",15,10,2,7,1,3,1
"06/08/2009",0,2,0,1,0,0,0
"04/09/2010",6,2,0,2,0,0,1
"01/07/2012",0,5,8,8,0,4,0
"09/22/2014",17,8,2,9,1,2,0
"04/13/2011",0,0,0,0,0,0,1
"03/31/2013",0,0,0,0,1,1,0
"09/18/2013",11,3,1,7,1,3,1
"07/05/2013",13,6,0,4,2,4,0
"06/30/2012",3,1,0,1,0,0,0
"03/27/2010",0,0,0,0,0,0,0
"01/05/2015",15,8,1,11,1,0,0
"01/14/2010",4,1,0,0,0,0,1
"11/14/2013",3,1,0,1,0,0,1
"03/24/2015",23,8,0,15,2,4,0
"09/11/2009",0,0,0,0,0,0,0
"04/06/2012",95,24,0,40,8,0,0
"06/19/2012",9,0,0,4,0,0,1
"10/17/2009",0,0,0,0,0,0,0
"09/25/2010",1,1,0,0,0,0,0
"10/28/2014",25,11,0,9,1,1,1
"06/23/2014",5,6,1,2,3,0,0
"11/17/2010",1,0,0,1,0,0,1
"01/07/2013",0,0,0,1,0,0,0
"11/21/2011",52,12,4,24,8,0,0
"04/13/2010",0,0,0,1,0,0,1
"06/12/2009",4,2,0,0,1,2,0
"09/18/2012",13,0,1,6,0,0,0
"06/26/2010",1,0,0,0,0,0,0
"08/29/2016",187,88,13,78,40,29,0
"03/31/2012",3,1,0,5,0,0,0
"12/12/2011",0,1,0,0,0,0,0
"11/14/2012",6,1,0,3,4,0,0
"12/31/2014",7,1,0,2,0,0,0
"06/21/2010",0,0,0,0,0,0,0
"12/17/2013",3,2,1,2,0,1,0
"04/25/2012",7,9,8,0,4,4,1
"01/05/2016",22,12,2,17,8,11,0
"07/24/2011",0,1,0,0,0,0,0
"06/05/2015",29,11,2,13,2,2,1
"09/07/2009",2,2,0,2,1,1,0
"07/08/2016",209,78,7,93,22,18,1
"01/21/2011",0,1,0,0,0,1,0
"01/21/2012",12,0,0,8,4,0,0
"09/04/2014",16,4,0,6,2,7,0
"08/04/2009",2,0,0,0,0,1,1
"03/22/2012",11,4,0,5,0,0,0
"09/09/2016",236,154,10,116,56,40,0
"04/09/2016",24,10,1,10,6,2,0
"04/20/2011",0,0,0,0,0,0,1
"04/25/2013",7,14,1,7,6,4,1
"07/29/2012",0,1,0,0,0,0,0
"03/01/2015",11,5,0,3,0,3,0
"08/31/2009",1,0,0,0,0,0,0
"03/06/2015",22,13,1,6,2,4,0
"11/14/2011",20,8,0,4,4,0,0
"12/12/2010",0,1,0,0,0,0,0
"12/31/2013",1,5,0,3,0,0,1
"07/29/2014",5,7,0,3,1,1,0
"04/25/2011",0,0,0,0,0,0,0
"06/07/2010",0,2,0,2,0,0,0
"07/24/2012",0,1,0,1,0,0,0
"12/17/2012",4,0,0,0,4,0,0
"11/17/2009",0,1,0,0,0,0,1
"03/22/2010",0,0,0,0,0,0,0
"06/29/2009",4,0,0,5,0,0,0
"01/26/2012",2,3,2,3,2,3,0
"06/05/2014",9,11,0,2,9,8,1
"03/08/2011",0,0,0,0,0,0,1
"07/08/2015",31,8,3,14,0,2,0
"01/21/2010",2,1,1,0,1,0,0
"09/04/2013",3,3,0,4,1,0,1
"07/08/2014",16,7,1,6,4,7,0
"05/05/2009",2,1,0,1,1,1,0
"09/09/2015",26,7,1,9,4,4,0
"03/22/2011",0,0,0,0,0,0,0
"04/09/2015",25,10,1,12,0,7,1
"04/20/2010",2,0,0,0,1,0,1
"07/29/2013",1,1,0,2,1,1,0
"03/01/2016",88,55,7,38,41,19,1
"03/06/2014",11,5,1,5,0,1,0
"07/24/2013",5,3,0,5,2,0,1
"10/14/2009",0,0,0,0,0,0,1
"11/14/2010",0,0,0,0,0,0,0
"09/20/2011",0,0,0,0,0,0,0
"06/21/2012",12,12,0,6,0,6,0
"07/29/2015",13,7,2,5,0,10,1
"12/17/2011",0,0,0,0,0,0,0
"06/05/2013",2,5,0,2,0,0,0
"09/09/2013",4,3,1,1,0,2,0
"01/26/2015",24,17,2,13,3,7,0
"07/08/2013",5,8,1,7,4,0,0
"01/21/2014",4,2,1,2,1,1,0
"09/09/2014",9,5,1,4,3,1,0
"06/05/2012",11,8,0,5,0,2,1
"04/25/2015",13,4,0,5,0,3,0
"03/06/2013",5,5,0,1,0,1,0
"04/09/2014",6,5,0,2,1,1,1
"07/24/2014",11,15,1,6,5,7,0
"09/20/2012",31,18,0,2,16,0,0
"11/12/2009",0,0,0,0,0,0,0
"12/31/2015",37,21,0,22,5,7,0
"07/29/2016",147,56,9,56,16,32,1
"06/21/2013",5,1,1,1,0,0,0
"12/17/2010",3,0,0,1,0,0,1
"09/09/2012",0,0,0,0,0,0,0
"01/26/2014",1,0,0,0,0,0,0
"01/21/2013",0,0,0,0,0,0,0
"07/08/2012",13,6,0,0,0,0,0
"03/22/2013",15,3,0,6,0,0,1
"09/04/2011",0,0,0,1,1,0,0
"04/25/2014",7,2,2,4,3,4,0
"03/06/2012",6,2,0,2,0,1,0
"04/09/2013",1,1,0,1,0,1,1
"04/20/2012",26,14,0,6,10,1,0
"06/07/2013",50,30,0,29,2,10,1
"05/21/2009",3,0,0,3,0,0,0
"12/10/2013",3,2,2,1,0,0,0
"09/06/2012",3,10,0,5,7,6,1
"11/29/2010",1,0,0,1,0,0,0
"08/17/2016",152,55,6,66,33,37,1
"03/08/2014",0,0,0,0,0,0,0
"01/21/2016",70,62,6,45,39,30,1
"10/12/2009",0,1,0,0,0,0,0
"04/27/2010",0,2,0,1,0,0,0
"09/23/2009",2,0,0,2,0,0,0
"04/20/2015",21,13,0,3,0,4,0
"07/12/2009",0,0,0,0,0,0,0
"05/18/2016",94,53,4,55,18,16,1
"04/13/2009",1,0,0,0,0,0,0
"10/26/2010",0,0,0,0,0,0,1
"08/20/2009",1,0,0,0,0,0,1
"03/08/2015",2,0,0,0,0,0,0
"08/17/2015",21,6,1,7,2,5,0
"09/09/2010",0,0,0,0,0,0,1
"12/10/2014",15,15,1,10,0,2,0
"11/29/2011",4,4,0,0,4,0,0
"01/21/2015",21,9,1,8,5,5,1
"01/28/2010",2,1,0,2,0,0,0
"12/12/2015",11,6,0,2,2,2,0
"04/20/2014",0,3,0,0,0,0,0
"06/07/2015",10,1,0,1,1,2,0
"05/18/2015",19,10,1,7,2,5,0
"12/12/2013",2,1,0,2,1,1,0
"03/25/2009",2,0,0,0,0,0,1
"06/07/2011",0,0,0,0,0,1,0
"04/25/2010",0,1,1,0,0,0,0
"02/19/2016",58,28,5,23,12,8,1
"12/10/2015",82,63,12,41,35,29,1
"01/26/2011",1,1,1,1,0,0,1
"09/06/2014",1,0,0,1,1,0,0
"03/08/2012",5,0,0,3,0,0,1
"09/04/2016",60,31,8,30,7,18,0
"08/09/2009",3,1,0,0,0,0,0
"12/12/2014",12,3,0,5,3,2,0
"06/07/2012",30,8,0,7,0,2,0
"12/12/2012",2,0,0,0,0,0,0
"06/24/2009",1,2,0,0,0,2,1
"06/05/2016",49,36,7,34,9,9,0
"09/06/2013",12,3,3,8,3,3,1
"03/08/2013",9,8,0,4,4,8,1
"04/20/2016",86,27,3,39,15,18,1
"09/04/2015",41,8,4,20,2,3,0
"11/15/2009",0,0,0,0,0,0,0
"03/06/2016",31,12,4,25,6,6,0
"10/05/2016",534,227,36,230,50,67,1
"05/19/2010",2,0,0,1,0,0,0
"10/07/2010",2,0,0,1,0,0,1
"10/21/2011",8,0,0,0,0,0,1
"02/14/2012",13,0,1,0,8,0,1
"08/12/2010",1,0,0,0,0,0,0
"08/17/2012",2,0,0,1,0,0,1
"02/19/2014",8,3,0,7,5,12,0
"04/27/2015",23,8,4,7,7,9,0
"09/01/2014",3,2,0,1,0,0,0
"04/27/2014",0,0,0,0,0,0,0
"12/15/2010",0,0,0,0,0,0,0
"08/17/2011",0,1,0,0,0,0,0
"01/28/2015",34,10,1,14,2,2,0
"10/20/2015",34,19,4,20,8,9,0
"06/02/2016",104,42,7,45,16,13,1
"07/26/2014",1,1,0,1,0,1,0
"05/18/2012",2,4,0,1,1,0,0
"08/01/2009",0,0,0,0,0,0,0
"08/10/2016",202,74,11,74,35,36,0
"05/13/2012",3,2,0,2,0,2,0
"09/01/2013",4,2,0,2,1,2,0
"11/29/2015",10,5,0,1,1,3,0
"10/05/2015",35,15,3,13,4,16,0
"06/26/2009",3,1,0,1,0,0,1
"02/14/2013",8,0,0,8,4,4,1
"05/11/2016",108,40,9,38,25,16,0
"02/19/2015",8,8,2,5,1,2,1
"05/02/2009",1,1,0,2,0,0,0
