30,92
60,347
90,593
120,701
150,809
180,926
210,1087
240,1259
270,1439
300,1597
330,1736
360,1874
390,2030
420,2233
450,2384
480,2488
510,2702
540,2873
570,3059
600,3297
630,3509
660,3727
690,4161
720,4761
750,5401
780,6375
810,7519
840,8504
870,9379
900,10014
930,10597
960,11551
990,12212
1020,12882
1050,13630
1080,14377
1110,15424
1140,16488
1170,17446
1200,18222
1230,19214
1260,20119
1290,21012
1320,21854
1350,23164
1380,24356
1410,25701
1440,26956
1470,28147
1500,29379
1530,30980
1560,32580
1590,34439
1620,36226
1650,37970
1680,40045
1710,42130
1740,44533
1770,47823
1800,52358
1830,56968
1860,61335
1890,67927
1920,75949
1950,84717
1980,96221
2010,109348
2040,128218
2070,163706
2100,199055
2130,241513
2160,291017
